timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644163640101,52,List Users,200,OK,Thread Group 1-17,text,true,,1870,127,10,10,https://reqres.in/api/users?page=1,52,0,0
1644163639047,1124,Home Page,200,OK,Thread Group 1-13,text,true,,29865,111,10,10,https://reqres.in/,448,0,107
1644163640154,56,List User JSON Extractor,200,OK,Thread Group 1-17,text,true,,1067,128,10,10,https://reqres.in/api/users?page=12,55,0,0
1644163640172,52,List Users,200,OK,Thread Group 1-13,text,true,,1876,127,9,9,https://reqres.in/api/users?page=1,52,0,0
1644163639548,682,Home Page,200,OK,Thread Group 1-18,text,true,,29857,111,9,9,https://reqres.in/,456,0,116
1644163640225,57,List User JSON Extractor,200,OK,Thread Group 1-13,text,true,,1066,128,10,10,https://reqres.in/api/users?page=12,57,0,0
1644163640231,58,List Users,200,OK,Thread Group 1-18,text,true,,1862,127,9,9,https://reqres.in/api/users?page=1,57,0,0
1644163640290,54,List User JSON Extractor,200,OK,Thread Group 1-18,text,true,,1061,128,9,9,https://reqres.in/api/users?page=12,54,0,0
1644163639744,788,Home Page,200,OK,Thread Group 1-20,text,true,,29872,111,10,10,https://reqres.in/,453,0,106
1644163640533,64,List Users,200,OK,Thread Group 1-20,text,true,,1874,127,11,11,https://reqres.in/api/users?page=1,63,0,0
1644163640597,63,List User JSON Extractor,200,OK,Thread Group 1-20,text,true,,1066,128,12,12,https://reqres.in/api/users?page=12,63,0,0
1644163639647,1113,Home Page,200,OK,Thread Group 1-19,text,true,,29854,111,12,12,https://reqres.in/,825,0,400
1644163640044,722,Home Page,200,OK,Thread Group 1-23,text,true,,29866,111,12,12,https://reqres.in/,522,0,111
1644163639946,840,Home Page,200,OK,Thread Group 1-22,text,true,,29861,111,12,12,https://reqres.in/,527,0,106
1644163639845,962,Home Page,200,OK,Thread Group 1-21,text,true,,29856,111,12,12,https://reqres.in/,504,0,109
1644163640761,52,List Users,200,OK,Thread Group 1-19,text,true,,1864,127,12,12,https://reqres.in/api/users?page=1,52,0,0
1644163640767,55,List Users,200,OK,Thread Group 1-23,text,true,,1868,127,12,12,https://reqres.in/api/users?page=1,55,0,0
1644163640787,56,List Users,200,OK,Thread Group 1-22,text,true,,1868,127,12,12,https://reqres.in/api/users?page=1,55,0,0
1644163640145,703,Home Page,200,OK,Thread Group 1-24,text,true,,29856,111,13,13,https://reqres.in/,504,0,116
1644163640244,608,Home Page,200,OK,Thread Group 1-25,text,true,,29862,111,13,13,https://reqres.in/,463,0,110
1644163640814,51,List User JSON Extractor,200,OK,Thread Group 1-19,text,true,,1061,128,13,13,https://reqres.in/api/users?page=12,51,0,0
1644163640808,62,List Users,200,OK,Thread Group 1-21,text,true,,1860,127,12,12,https://reqres.in/api/users?page=1,56,0,0
1644163640823,56,List User JSON Extractor,200,OK,Thread Group 1-23,text,true,,1060,128,12,12,https://reqres.in/api/users?page=12,56,0,0
1644163640843,54,List User JSON Extractor,200,OK,Thread Group 1-22,text,true,,1069,128,11,11,https://reqres.in/api/users?page=12,54,0,0
1644163640848,55,List Users,200,OK,Thread Group 1-24,text,true,,1860,127,10,10,https://reqres.in/api/users?page=1,55,0,0
1644163640870,54,List User JSON Extractor,200,OK,Thread Group 1-21,text,true,,1066,128,10,10,https://reqres.in/api/users?page=12,53,0,0
1644163640853,72,List Users,200,OK,Thread Group 1-25,text,true,,1864,127,10,10,https://reqres.in/api/users?page=1,71,0,0
1644163640904,54,List User JSON Extractor,200,OK,Thread Group 1-24,text,true,,1064,128,10,10,https://reqres.in/api/users?page=12,54,0,0
1644163640926,51,List User JSON Extractor,200,OK,Thread Group 1-25,text,true,,1064,128,9,9,https://reqres.in/api/users?page=12,51,0,0
1644163638854,2395,Home Page,200,OK,Thread Group 1-11,text,true,,29858,111,11,11,https://reqres.in/,1849,0,1108
1644163641251,52,List Users,200,OK,Thread Group 1-11,text,true,,1870,127,11,11,https://reqres.in/api/users?page=1,52,0,0
1644163641304,63,List User JSON Extractor,200,OK,Thread Group 1-11,text,true,,1058,128,12,12,https://reqres.in/api/users?page=12,63,0,0
1644163640746,657,Home Page,200,OK,Thread Group 1-30,text,true,,29860,111,11,11,https://reqres.in/,464,0,118
1644163640844,673,Home Page,200,OK,Thread Group 1-31,text,true,,29863,111,12,12,https://reqres.in/,480,0,119
1644163641518,56,List Users,200,OK,Thread Group 1-31,text,true,,1864,127,13,13,https://reqres.in/api/users?page=1,56,0,0
1644163640947,651,Home Page,200,OK,Thread Group 1-32,text,true,,29864,111,13,13,https://reqres.in/,460,0,110
1644163640647,966,Home Page,200,OK,Thread Group 1-29,text,true,,29871,111,13,13,https://reqres.in/,493,0,112
1644163641575,54,List User JSON Extractor,200,OK,Thread Group 1-31,text,true,,1072,128,13,13,https://reqres.in/api/users?page=12,54,0,0
1644163641613,53,List Users,200,OK,Thread Group 1-29,text,true,,1866,127,13,13,https://reqres.in/api/users?page=1,53,0,0
1644163641599,117,List Users,200,OK,Thread Group 1-32,text,true,,1864,127,13,13,https://reqres.in/api/users?page=1,116,0,0
1644163641667,51,List User JSON Extractor,200,OK,Thread Group 1-29,text,true,,1063,128,13,13,https://reqres.in/api/users?page=12,51,0,0
1644163641716,57,List User JSON Extractor,200,OK,Thread Group 1-32,text,true,,1067,128,13,13,https://reqres.in/api/users?page=12,57,0,0
1644163641404,410,List Users,200,OK,Thread Group 1-30,text,true,,1866,127,12,12,https://reqres.in/api/users?page=1,57,0,0
1644163641044,795,Home Page,200,OK,Thread Group 1-33,text,true,,29854,111,12,12,https://reqres.in/,512,0,167
1644163640444,1415,Home Page,200,OK,Thread Group 1-27,text,true,,29864,111,13,13,https://reqres.in/,804,0,443
1644163641815,57,List User JSON Extractor,200,OK,Thread Group 1-30,text,true,,1068,128,13,13,https://reqres.in/api/users?page=12,57,0,0
1644163641247,641,Home Page,200,OK,Thread Group 1-35,text,true,,29854,111,12,12,https://reqres.in/,485,0,104
1644163641840,64,List Users,200,OK,Thread Group 1-33,text,true,,1858,127,12,12,https://reqres.in/api/users?page=1,61,0,0
1644163641860,56,List Users,200,OK,Thread Group 1-27,text,true,,1872,127,12,12,https://reqres.in/api/users?page=1,56,0,0
1644163641890,64,List Users,200,OK,Thread Group 1-35,text,true,,1864,127,13,13,https://reqres.in/api/users?page=1,64,0,0
1644163641904,61,List User JSON Extractor,200,OK,Thread Group 1-33,text,true,,1065,128,13,13,https://reqres.in/api/users?page=12,61,0,0
1644163641917,53,List User JSON Extractor,200,OK,Thread Group 1-27,text,true,,1064,128,12,12,https://reqres.in/api/users?page=12,53,0,0
1644163641344,659,Home Page,200,OK,Thread Group 1-36,text,true,,29852,111,11,11,https://reqres.in/,467,0,110
1644163641955,70,List User JSON Extractor,200,OK,Thread Group 1-35,text,true,,1064,128,11,11,https://reqres.in/api/users?page=12,70,0,0
